household_id,name,district,status,matched_beneficiary,confidence,action,recommendation,priority_score,eligibility_details,timestamp,priority_rank,global_priority_rank
HH000000,Priya Singh,Goa,already_enrolled,BEN000000,100.0,none,,,,,,
HH000001,Rajesh Gupta,Goa,already_enrolled,BEN000001,100.0,none,,,,,,
HH000039,Anita Verma,Goa,already_enrolled,BEN000039,100.0,none,,,,,,
HH000054,Rajesh Gupta,Goa,already_enrolled,BEN000054,100.0,none,,,,,,
HH000089,Kumar Sharma,Goa,already_enrolled,BEN000089,100.0,none,,,,,,
HH000102,Vikram Singh,Goa,already_enrolled,BEN000102,100.0,none,,,,,,
HH000105,Anita Kumar,Goa,already_enrolled,BEN002160,93.0909090909091,none,,,,,,
HH000118,Sunita Sharma,Goa,already_enrolled,BEN000118,100.0,none,,,,,,
HH000122,Anita Sharma,Goa,already_enrolled,BEN000122,100.0,none,,,,,,
HH000159,Kumar Khan,Goa,already_enrolled,BEN000159,100.0,none,,,,,,
HH000188,Kumar Gupta,Goa,already_enrolled,BEN000188,100.0,none,,,,,,
HH000189,Vikram Singh,Goa,already_enrolled,BEN000189,100.0,none,,,,,,
HH000206,Priya Kumar,Goa,already_enrolled,BEN000206,100.0,none,,,,,,
HH000217,Sunita Verma,Goa,already_enrolled,BEN000217,100.0,none,,,,,,
HH000237,Sunita Singh,Goa,already_enrolled,BEN000237,100.0,none,,,,,,
HH000245,Rajesh Sharma,Goa,already_enrolled,BEN000245,100.0,none,,,,,,
HH000251,Deepa Kumar,Goa,already_enrolled,BEN000251,100.0,none,,,,,,
HH000257,Rajesh Gupta,Goa,already_enrolled,BEN000257,100.0,none,,,,,,
HH000260,Sunita Verma,Goa,already_enrolled,BEN000260,100.0,none,,,,,,
HH000264,Anil Verma,Goa,already_enrolled,BEN000264,100.0,none,,,,,,
HH000324,Deepa Kumar,Goa,already_enrolled,BEN000324,100.0,none,,,,,,
HH000339,Kumar Verma,Goa,already_enrolled,BEN000339,100.0,none,,,,,,
HH000342,Anil Singh,Goa,already_enrolled,BEN000342,100.0,none,,,,,,
HH000392,Priya Singh,Goa,already_enrolled,BEN000392,100.0,none,,,,,,
HH000393,Anita Verma,Goa,already_enrolled,BEN000393,100.0,none,,,,,,
HH000401,Vikram Gupta,Goa,already_enrolled,BEN000401,100.0,none,,,,,,
HH000415,Rajesh Reddy,Goa,already_enrolled,BEN000415,100.0,none,,,,,,
HH000431,Anil Kumar,Goa,already_enrolled,BEN000431,100.0,none,,,,,,
HH000435,Kumar Gupta,Goa,already_enrolled,BEN000435,100.0,none,,,,,,
HH000436,Rajesh Verma,Goa,already_enrolled,BEN000436,100.0,none,,,,,,
HH000485,Anil Gupta,Goa,already_enrolled,BEN003285,96.72727272727273,none,,,,,,
HH000487,Anil Verma,Goa,already_enrolled,BEN000487,100.0,none,,,,,,
HH000490,Rajesh Patel,Goa,already_enrolled,BEN000490,100.0,none,,,,,,
HH000497,Vikram Verma,Goa,already_enrolled,BEN000497,100.0,none,,,,,,
HH000498,Priya Patel,Goa,already_enrolled,BEN000498,100.0,none,,,,,,
HH000502,Vikram Verma,Goa,already_enrolled,BEN000502,100.0,none,,,,,,
HH000563,Anil Reddy,Goa,already_enrolled,BEN000563,100.0,none,,,,,,
HH000571,Anil Reddy,Goa,already_enrolled,BEN000563,96.72727272727273,none,,,,,,
HH000603,Deepa Kumar,Goa,already_enrolled,BEN000603,100.0,none,,,,,,
HH000611,Kumar Khan,Goa,already_enrolled,BEN000611,100.0,none,,,,,,
HH000613,Rajesh Kumar,Goa,already_enrolled,BEN000762,93.0909090909091,none,,,,,,
HH000632,Anita Reddy,Goa,already_enrolled,BEN000632,100.0,none,,,,,,
HH000634,Vikram Kumar,Goa,already_enrolled,BEN000634,100.0,none,,,,,,
HH000690,Anil Khan,Goa,already_enrolled,BEN000690,100.0,none,,,,,,
HH000704,Priya Reddy,Goa,already_enrolled,BEN000704,100.0,none,,,,,,
HH000709,Rajesh Verma,Goa,already_enrolled,BEN000436,93.0909090909091,none,,,,,,
HH000725,Sunita Gupta,Goa,already_enrolled,BEN000725,100.0,none,,,,,,
HH000731,Anil Reddy,Goa,already_enrolled,BEN000749,96.72727272727273,none,,,,,,
HH000732,Anita Gupta,Goa,already_enrolled,BEN000732,100.0,none,,,,,,
