beneficiary_id,household_id,name,age,gender,aadhaar_hash,income_band,caste_category,family_size,district,state,latitude,longitude,distance_to_hospital_km,is_enrolled,enrollment_date
BEN000000,HH000000,Priya Singh,35,F,AAD00000000,BPL,OBC,9,Goa,Goa,27.8493,77.3254,56.17,True,2025-11-13 19:11:19.298042
BEN000001,HH000001,Rajesh Gupta,63,M,AAD00000001,APL,SC,8,Goa,Goa,21.5578,72.258,99.03,True,2025-09-04 19:11:19.299044
BEN000002,HH000002,Priya Kumar,39,M,AAD00000002,APL,SC,3,Surat,Gujarat,15.7335,71.2729,51.24,True,2026-01-14 19:11:19.299044
BEN000003,HH000003,Deepa Gupta,44,M,AAD00000003,EWS,SC,5,Delhi,Delhi,16.0632,86.6389,29.51,True,
BEN000004,HH000004,Rajesh Gupta,58,F,AAD00000004,EWS,SC,10,Pune,Maharashtra,29.7328,91.3308,56.81,True,2026-03-28 19:11:19.299044
BEN000005,HH000005,Rajesh Reddy,55,F,AAD00000005,APL,ST,10,Chandigarh,Chandigarh,25.5593,73.3398,54.87,True,2026-01-26 19:11:19.299044
BEN000006,HH000006,Anil Gupta,32,M,AAD00000006,BPL,OBC,5,Ahmedabad,Gujarat,30.5772,79.6039,71.64,True,2026-07-13 19:11:19.299044
BEN000007,HH000007,Sunita Patel,78,M,AAD00000007,BPL,General,6,Mumbai,Maharashtra,28.371,81.0156,63.44,False,2026-01-11 19:11:19.299044
BEN000008,HH000008,Sunita Reddy,66,F,AAD00000008,BPL,OBC,9,Jaipur,Rajasthan,27.4203,90.7395,40.73,True,2025-10-09 19:11:19.299044
BEN000009,HH000009,Anita Sharma,73,F,AAD00000009,BPL,General,3,Ahmedabad,Gujarat,16.8116,96.3737,88.08,True,
BEN000010,HH000010,Sunita Kumar,77,F,AAD00000010,EWS,General,3,Lucknow,Uttar Pradesh,30.1525,81.7957,17.64,True,2025-09-04 19:11:19.299044
BEN000011,HH000011,Deepa Sharma,42,F,AAD00000011,APL,ST,7,Hyderabad,Telangana,31.4427,79.5203,61.27,True,
BEN000012,HH000012,Anita Patel,48,M,AAD00000012,EWS,ST,3,Mumbai,Maharashtra,24.7316,71.8455,23.09,True,
BEN000013,HH000013,Sunita Patel,22,M,AAD00000013,APL,SC,9,Bengaluru,Karnataka,23.4279,68.886,87.81,True,
BEN000014,HH000014,Anita Gupta,47,F,AAD00000014,BPL,OBC,10,Pune,Maharashtra,21.0091,75.0271,80.42,True,2026-06-09 19:11:19.299044
BEN000015,HH000015,Vikram Verma,62,F,AAD00000015,EWS,OBC,7,Bengaluru,Karnataka,30.9733,74.653,54.14,True,2025-07-21 19:11:19.299044
BEN000016,HH000016,Anita Verma,44,M,AAD00000016,APL,SC,8,Mumbai,Maharashtra,28.3934,71.8754,78.39,True,2025-09-20 19:11:19.299044
BEN000017,HH000017,Anita Gupta,79,F,AAD00000017,EWS,ST,3,Delhi,Delhi,26.8718,96.0177,90.76,True,2026-01-11 19:11:19.299044
BEN000018,HH000018,Kumar Reddy,20,M,AAD00000018,EWS,SC,2,Hyderabad,Telangana,24.4777,85.9001,90.3,True,2025-12-20 19:11:19.299044
BEN000019,HH000019,Anil Sharma,76,F,AAD00000019,EWS,OBC,8,Hyderabad,Telangana,25.9796,68.6562,94.25,True,2025-09-02 19:11:19.299044
BEN000020,HH000020,Deepa Sharma,57,M,AAD00000020,APL,ST,5,Bhopal,Madhya Pradesh,27.2274,77.5693,42.06,True,2025-08-23 19:11:19.299044
BEN000021,HH000021,Anita Kumar,25,F,AAD00000021,BPL,SC,3,Bengaluru,Karnataka,28.3933,70.9845,48.32,True,
BEN000022,HH000022,Anita Verma,41,F,AAD00000022,APL,OBC,7,Hyderabad,Telangana,13.6562,81.2639,89.94,True,
BEN000023,HH000023,Rajesh Patel,61,F,AAD00000023,BPL,SC,8,Chandigarh,Chandigarh,20.9327,78.3958,25.53,True,2026-05-10 19:11:19.299044
BEN000024,HH000024,Rajesh Reddy,44,M,AAD00000024,BPL,SC,2,Bhopal,Madhya Pradesh,34.2775,70.7511,84.6,True,
BEN000025,HH000025,Priya Sharma,65,M,AAD00000025,EWS,SC,3,Kolkata,West Bengal,32.9526,86.8498,1.43,True,2026-06-19 19:11:19.299044
BEN000026,HH000026,Anil Gupta,42,F,AAD00000026,EWS,SC,7,Delhi,Delhi,18.224,94.8578,86.25,True,
BEN000027,HH000027,Sunita Khan,49,F,AAD00000027,APL,OBC,3,Kolkata,West Bengal,31.7225,71.9213,53.53,False,2025-11-14 19:11:19.299044
BEN000028,HH000028,Sunita Singh,55,M,AAD00000028,EWS,OBC,9,Ahmedabad,Gujarat,12.8767,87.1558,72.27,True,
BEN000029,HH000029,Vikram Khan,47,F,AAD00000029,BPL,ST,6,Hyderabad,Telangana,16.502,74.3732,40.4,True,2025-10-23 19:11:19.299044
BEN000030,HH000030,Anil Gupta,71,F,AAD00000030,EWS,SC,10,Kolkata,West Bengal,14.351,84.6912,29.41,True,
BEN000031,HH000031,Deepa Reddy,32,F,AAD00000031,APL,OBC,5,Mumbai,Maharashtra,25.1404,86.0527,24.17,True,2025-08-01 19:11:19.299044
BEN000032,HH000032,Sunita Khan,68,F,AAD00000032,BPL,ST,8,Delhi,Delhi,13.876,93.9792,14.56,True,
BEN000033,HH000033,Vikram Gupta,64,F,AAD00000033,EWS,General,7,Bhopal,Madhya Pradesh,30.5527,94.7445,70.35,False,2025-08-27 19:11:19.299044
BEN000034,HH000034,Kumar Kumar,65,M,AAD00000034,EWS,General,3,Ahmedabad,Gujarat,18.0741,83.2682,12.58,True,
BEN000035,HH000035,Deepa Khan,55,F,AAD00000035,APL,OBC,4,Hyderabad,Telangana,24.0536,77.6262,38.03,True,
BEN000036,HH000036,Sunita Kumar,34,F,AAD00000036,EWS,General,8,Bhopal,Madhya Pradesh,30.0765,96.8435,41.62,True,
BEN000037,HH000037,Anita Gupta,65,F,AAD00000037,BPL,General,5,Mumbai,Maharashtra,22.6872,74.5823,22.69,False,
BEN000038,HH000038,Vikram Sharma,56,M,AAD00000038,APL,SC,5,Delhi,Delhi,27.2755,76.1629,50.61,True,
BEN000039,HH000039,Anita Verma,55,M,AAD00000039,BPL,SC,3,Goa,Goa,27.5962,80.9952,10.99,True,2026-03-13 19:11:19.299044
BEN000040,HH000040,Priya Khan,70,F,AAD00000040,EWS,ST,5,Lucknow,Uttar Pradesh,32.1607,91.642,60.97,True,
BEN000041,HH000041,Anil Patel,65,M,AAD00000041,APL,SC,5,Surat,Gujarat,28.4738,76.155,54.8,False,2025-11-13 19:11:19.299044
